Postcode,LDZ,Exit Zone
BD109NR,NE,NE1
BD109QD,NE,NE1
BD109SG,NE,NE1
BD109VV,NE,NE1
BD100AA,NE,NE1
BD100AB,NE,NE1
BD100AD,NE,NE1
BD100AH,NE,NE1
BD100AJ,NE,NE1
BD100AL,NE,NE1
BD100AN,NE,NE1
BD100AU,NE,NE1
BD100AX,NE,NE1
BD100BA,NE,NE1
BD100BB,NE,NE1
BD100BD,NE,NE1
BD100BE,NE,NE1
BD100BG,NE,NE1
BD100BH,NE,NE1
BD100BJ,NE,NE1
BD100BL,NE,NE1
BD100BN,NE,NE1
BD100BP,NE,NE1
BD100BS,NE,NE1
BD100BT,NE,NE1
BD100BU,NE,NE1
BD100BW,NE,NE1
BD100BX,NE,NE1
BD100BY,NE,NE1
BD100DA,NE,NE1
BD100DB,NE,NE1
BD100DE,NE,NE1
BD100DG,NE,NE1
BD100DH,NE,NE1
BD100DJ,NE,NE1
BD100DL,NE,NE1
BD100DN,NE,NE1
BD100DP,NE,NE1
BD100DR,NE,NE1
BD100DS,NE,NE1
BD100DT,NE,NE1
BD100DU,NE,NE1
BD100DX,NE,NE1
BD100DY,NE,NE1
BD100EA,NE,NE1
BD100EB,NE,NE1
BD100ED,NE,NE1
BD100EF,NE,NE1
BD100EH,NE,NE1
BD100EP,NE,NE1
BD100EQ,NE,NE1
BD100ER,NE,NE1
BD100ES,NE,NE1
BD100ET,NE,NE1
BD100EU,NE,NE1
BD100EY,NE,NE1
BD100HB,NE,NE1
BD100HD,NE,NE1
BD100HE,NE,NE1
BD100HF,NE,NE1
BD100HG,NE,NE1
BD100HH,NE,NE1
BD100HJ,NE,NE1
BD100HL,NE,NE1
BD100HN,NE,NE1
BD100HQ,NE,NE1
BD100HR,NE,NE1
BD100HS,NE,NE1
BD100HT,NE,NE1
BD100HU,NE,NE1
BD100HW,NE,NE1
BD100HX,NE,NE1
BD100HY,NE,NE1
BD100HZ,NE,NE1
BD100JA,NE,NE1
BD100JB,NE,NE1
BD100JE,NE,NE1
BD100JF,NE,NE1
BD100JG,NE,NE1
BD100JH,NE,NE1
BD100JJ,NE,NE1
BD100JL,NE,NE1
BD100JN,NE,NE1
BD100JP,NE,NE1
BD100JQ,NE,NE1
BD100JR,NE,NE1
BD100JS,NE,NE1
BD100JT,NE,NE1
BD100JU,NE,NE1
BD100JX,NE,NE1
BD100JY,NE,NE1
BD100JZ,NE,NE1
BD100LB,NE,NE1
BD100LE,NE,NE1
BD100LH,NE,NE1
BD100LJ,NE,NE1
BD100LL,NE,NE1
BD100LN,NE,NE1
BD100LS,NE,NE1
BD100LT,NE,NE1
BD100LU,NE,NE1
BD100LW,NE,NE1
BD100LX,NE,NE1
BD100NA,NE,NE1
BD100NB,NE,NE1
BD100ND,NE,NE1
BD100NF,NE,NE1
BD100NH,NE,NE1
BD100NJ,NE,NE1
BD100NL,NE,NE1
BD100NP,NE,NE1
BD100NQ,NE,NE1
BD100NR,NE,NE1
BD100NS,NE,NE1
BD100NT,NE,NE1
BD100NW,NE,NE1
BD100NX,NE,NE1
BD100NY,NE,NE1
BD100NZ,NE,NE1
BD100PA,NE,NE1
BD100PB,NE,NE1
BD100PD,NE,NE1
BD100PE,NE,NE1
BD100PF,NE,NE1
BD100PH,NE,NE1
BD100PJ,NE,NE1
BD100PL,NE,NE1
BD100PN,NE,NE1
BD100PP,NE,NE1
BD100PQ,NE,NE1
BD100PS,NE,NE1
BD100PT,NE,NE1
BD100PU,NE,NE1
BD100PW,NE,NE1
BD100PX,NE,NE1
BD100PY,NE,NE1
BD100QA,NE,NE1
BD100QB,NE,NE1
BD100QD,NE,NE1
BD100QE,NE,NE1
BD100QF,NE,NE1
BD100QG,NE,NE1
